;exp;edu;hab;v_tit;v_desc;score;training_score
2;the same;the same;the same;Gerente de TI/ Projetos; Gestão previa de times de Operação ou Infraestrutura de TI. Gestão de Data Center e CPD (redes, blades, storages, servidores, cabeamento, normas, etc)., Experiência em requisitos de sistema. Experiência em gestão de projetos. Experiência nas seguintes ferramentas: PLSQL, SIEBEL, Power Center, MS Project, Banco de dados Oracle. , Graduação completa em Engenharia da Computação, Sistemas da Informação e afins., Conhecer de banco de dados SQL e MySQL. Conhecer sistemas de CI e automação. Conhecer de MS- Exchange Server.;5;0,5
3;the same;the same;the same;Consultor Júnior SAP Business One; Desenvolvimento, correção e implementação da ferramenta SAP Business One., Experiência em projetos. ;5;0,5
4;the same;the same;the same;Especialista em Tecnologia da Informação - Redes; Atuar com gestão de infraestrutura de TI, gestão de aplicações e gestão de processos de negócios entre outras atividades pertinentes ao cargo.;5;0,5
5;the same;the same;the same;Desenvolvedor PHP Pleno; Trabalhar no desenvolvimento das nossas soluções web, desenhar a solução técnica dos requisitos com a equipe de produto, escrever os requisitos, avaliar os esforços com a equipe de release management., Experiência em PHP, CSS, HTML e Javascript ,ser proficiente em bancos de dados., Ensino Superior completo.;4;0,6
6;the same;the same;the same;Consultor ERP - SAP Business One; Atuará na implantação do ERP SAP Business One, mapeamento de processos, business blue print, treinamento de usuários, testes integrados, elaboração e acompanhamento de cronograma de implantação seguindo metodologia de implantação SAP., Ensino Superior em Administração de Empresas, Ciências Contábeis ou áreas afins. Experiência em projetos de implantação do SAP Business One. Imprescindível certificação SAP B1.;6;0,4
7;the same;the same;the same;Consultor SAP Business One; Atuar na implantação do ERP SAP Business One, realizar mapeamento de processos, criar business blue prints, realizar treinamento de usuários, testes integrados, acompanhamento de cronograma de implantação seguindo metodologia de implantação SAP. Criar consultas SQL e desenvolver relatórios em Crystal reports., Experiência em projetos de implantação do SAP Business One. Desejável certificação SAP B1.;5;0,5
8;the same;the same;the same;Analista de Sistemas Pleno; Análise e levantamento de requisitos. Elaboração de orçamento de projetos de TI. Gestão de projetos de sistemas (elaboração e acompanhamento de cronogramas)., Experiência em desenvolvimento de sistemas. Conhecimento intermediário Microsoft Project. Conhecimento de processos de TI. Ter trabalhado em projetos que envolvem algumas destas tecnologias., .NET, ASP, Magento e APIs. Conhecimento intermediário em SQL.;4;0,6
9;the same;the same;the same;Arquiteto de Sistemas; Arquitetura e desenvolvimento SOA e API, incluindo ferramentas Oracle SOA Suite e IBM API Managment, gestão de ferramenta IBM API Management. Apoio a equipe de desenvolvimento, gestão de ferramentas DEVOPS para integração contínua., Experiência como Arquiteto de integrações SOA / API. Experiência em arquitetura e desenvolvimento de integrações., Ensino Superior em TI.;4;0,6
0;;Engenharia Agronômica;;Analista de Desenvolvimento Júnior; Desenvolvimento e manutenção de sistema Web em Java.Desenvolvimento e aplicação de teste unitário, modelagem de bancos de dados e levantamento de requisitos de negócios. Dar suporte e apresentar novas funcionalidades aos clientes internos e externos., Necessário experiência como programador, desenvolvedor ou analista em atividades de desenvolvimento de sistema Web. Padrão de projetos, metodologias ágeis e sistema operacional Linux., Ensino Superior na área de Tecnologia da informação, analise e desenvolvimento de sistema, engenharia de software, engenharia da computação e ciências da computação.;3;0,7
1;the same;the same;the same;Consultor Técnico Júnior; Atuar com análise de projetos, pesquisa de desenvolvimento e inovação., Ensino Superior completo em Engenharia de Software, Ciências da Computação, Sistemas da Informação e/ou Análise e Desenvolvimento de Sistemas. Engenheiro de Automação, Engenharia Eletrônica, Engenharia Eletrotécnica, Engenharia de Telecomunicações.;3;0,7
2;the same;the same;the same;Programador; Desenvolvimento .NET C#. Depuração e testes de sistemas., Experiência nas atividades descritas e SQL Server., Ensino Superior em Bacharel cursando ou completo em Sistemas de Informação, Ciência da Computação, Engenharia da Computação ou Engenharia de Software.;3;0,7
3;the same;the same;the same;Desenvolvedor de Sistemas Sênior; Analisar e desenvolver projetos de sistemas, levanta requisitos, mapeia processos e realiza modelagem de dados, com objetivo de estudar e implementar sistemas de acordo com as regras de negócio, solucionar problemas técnicos e elaborar manuais. Realizar manutenção corretivas / evolutivas em softwares existentes de alta complexidade. Desenvolver sistemas / módulos de alta complexidade., Conhecimentos técnicos: Java, Linux, SQL Server, Oracle, Inglês técnico e PHP. Desejável conhecimento em tratamento de dados. Ensino Superior em Análise de Sistemas, Desenvolvimento de Sistemas, Engenharia de Software, Matemática, Engenharia, Física, Ciência da Computação, Engenharia da Computação ou afins.;3;0,7
4;the same;the same;the same;Programador Web/Mobile; Atividades voltadas para e-commerce. Programar, codificar e testar sistemas. Utilizar tecnologias tecnologia Java, Javascript, Html, PHP, MySQL e SQL Server., Ensino Superior em Sistemas de informação, Engenharia Elétrica, Engenharia Biomédica ou Engenharia da Computação., Banco de dados: MYSQL, ORACLE, SQLSERVER. ORM: ENTITY FRAMEWORK. Conhecimentos em CSS/HTML5, JQUERY, AJAX, DOM, JSON, ANGULARJS, IONIC;3;0,7
5;the same;the same;the same;Desenvolvedor de Software - Foco em Sistemas Web; Desenvolvimento de software segundo modelo e padrões definidos, desenvolvimento de testes, documentação, análise e arquitetura de sistemas., Experiência em Desenvolvimento de Software para sistemas Web, utilizando tecnologia como: Node.js, Angular.js ou React.js. Vivência em desenvolvimento em metodologias Ágeis, Scrum, TDD e integração contínua, Sistemas de versionamento de código como Git, Mercurial ou SVN., Ensino Superior em Ciências da Computação, Engenharia da Computação, Engenharia Elétrica e Engenharia de Controle e Automação., Será um diferencial conhecimento em linguagens como Java, C++ e C#.;3;0,7
6;the same;the same;the same;Programador de Banco de Dados; Modelagem de dados, levantamento de requisitos, especificação e desenvolvimento de produto de software., Formação em Engenharia ou Ciência da Computação, Física, Engenharia de Produção. Experiência em SQL Server, Crystal Report, Plataforma NET.;3;0,7
7;the same;the same;the same;Engenheiro da Computação Júnior; Desenvolver projetos eletrônicos e softwares. Lidar com linguagem de programação para microcontroladores, PC e mobile., Ensino Superior em Engenharia da Computação, desejável Pós-graduação em Engenharia da Computação.;3;0,7
8;the same;the same;the same;Programador PHP; Irá desenvolver os programas em conformidade com o padrão de interface, ergonomia, navegação e engenharia de processamento estabelecidas para atendimento da qualidade de toda a aplicação, corrigir as inconformidades ou inconsistências dos programas., Desejável vivência em Banco de Dados, Sistema Operacional, Softwares Auxiliares, Modelagem de Dados, Engenharia de Processamento de Programas. , Ensino Superior completo ou cursando Ciências da Computação, Engenharia da Computação, Sistemas de Informação ou em áreas correlatas., Ter conhecimentos em linguagens de programação (PHP ou Java ou Delphi ou Net Express), Lógica de Programação. Ter Inglês - Técnico.;3;0,7
9;the same;the same;the same;Desenvolvedor de Sistema Embarcado; Desenvolvimento de software e hardware em sistemas embarcados, participação em projetos, análise de melhorias etc., Experiência na função. Graduado em Ciências da Computação, Engenharia da Computação, Engenharia Eletrônica e áreas relacionadas.;3;0,7
0;Professor Associado,Avaliador INEP-MEC : EAD, Cursos e Institucional -  Ministério da Eduacação, ,Professor,Professor,Coordinator Master of Applied Mathematics (F. Wesphalen)  - PPGMAp,Monitor;Doctor of Philosophy (Ph.D.),Computer Science,Doutor em Ciencia da Computação,Master's degree,Computer Science,Computer Science Master,Specialization,Pedagogia Universitaria,Bachelor's Degree,Mathematics,Bach en Ciencias Físicas y Matemáticas;Software Engineering,Computer Science,Teaching,Requirements Analysis,Research,Wireless,Telecommunications,Linux,Microsoft Office,Microsoft SQL Server,Windows,English,ITIL,ASCV;Analista de Sistemas; Atuar com SQL Server, em SO\\\'s Windows, ITL, SGBD\\\'s e Versões, Backup, restore e recuperação em monitoração de Banco de Dados., Ensino Superior em Ciências da Computação, Sistema de Informação ou áreas afins. Certificação em SQL Server.;5;0,5
1;the same;the same;the same;Analista Programador .NET; Trabalhar na manutenção da API CanIhelp, robô e desenvolvimento de novas funcionalidades., Experiência em migration, ASP.NET Web API, Web Request C, MySQL, Entity Framework, Unity Of Work, Repository Pattern, DDD, Injection Dependency C / POO. ;4;0,6
2;the same;the same;the same;Professor de Tecnologia da Informação; Ministrar aulas, corrigir provas e realizar projetos pedagógicos., Ensino Superior em Tecnologia da Informação.;8;0,2
3;the same;the same;the same;Desenvolvedor Back-End Pleno/Sênior; Atuar como desenvolvedor Webservice em Java com bom conhecimento em SQL en BD SQL Server 2016. Ensino Superior em Análise de Sistemas, Processamento de Dados ou cursos afins.;5;0,5
4;the same;the same;the same;Scrum Master; Atuação com o líder técnico dos projetos com tecnologias JavaEE, WebServices, SQL, plataformas ECloud, JMS, MQ, TDD, Automação de testes, Angular, Jquery, Hibernate, Framework CSS e GIT., Necessário experiência com metodologias ágeis com vivência. Domínio em metodologia SCRUM. Diferencial ter atuado em empresas de E-commerce.;5;0,5
5;the same;the same;the same;Analista de TI Júnior; Atuará na área de Engenharia da TV, para construção e manutenção de aplicações web e aplicativos orientados às áreas de negócio e ao telespectador., Conhecimento em Linguagens e tecnologias: PHP, JavaScript, HTML e CSS, Frameworks/Microframeworks: Laravel e Lumen, utilização de APIs REST, MySQL, versionamento GIT. Linguagem de programação Python, Desenvolvimento mobile - iOS/Android, Utilização de serviços cloud como AWS/Google/Azure/IBM, Conhece ou utiliza ferramentas de BigData, Conhece ou utiliza ferramentas de Data Science, Gerenciamento básico do Linux como ambiente básico de servidores e Utilização de shell scripts.;5;0,5
6;the same;the same;the same;Analista de Sistemas; Atuar com SGBD\'s e Versões;0;1
7;the same;the same;the same;Programador; Atuar com JavaScript, HTML5, PHP, MySQL, Google Analytics, Google Adwords, participação em projetos, entre demais atividades., Desejável experiência em pacote ADOBE. Experiência em sala de aula como professor, será um diferencial. ;5;0,5
8;the same;the same;the same;Professor de Informática; Disciplinas a serem ministradas: matemática, raciocínio lógico, lógica de programação, banco de dados, manutenção de computadores, redes, programação WEB, desenvolvimento de aplicativos móveis, editoração eletrônica, CorelDRAW, Photoshop e Adobe InDesign., Graduação ou Ensino Técnico na área de informática.;8;0,2
9;the same;the same;the same;Desenvolvedor Scrum Master; Programar, codificar e testar linguagens de programação, com base nos sistemas desenvolvidos entre demais atividades na função.;5;0,5
